title,artist,peakPos,rank
The Football Card,Glenn Sutton,46,91
Who Do Ya Love,KC And The Sunshine Band,68,68
You Thrill Me,Exile,40,40
You Took The Words Right Out Of My Mouth,Meat Loaf,39,100
Blind Eye/Sweet Lorraine,Uriah Heep,91,91
But I Do,Bobby Vinton,82,82
I Can't Stand To See You Cry,Smokey Robinson & The Miracles,45,45
I Wanna Be With You,Raspberries,16,31
If It's All Right With You,Dottie West,97,98
It Never Rains In Southern California,Albert Hammond,5,73
Living In The Past,Jethro Tull,11,41
Looking Through The Eyes Of Love,The Partridge Family Starring Shirley Jones Featuring David Cassidy,39,39
Silly Wasn't I,Valerie Simpson,63,63
What My Baby Needs Now Is A Little More Lovin',James Brown-Lyn Collins,56,56
(It's Just) The Way That You Love Me,Paula Abdul,3,92
Fool For Your Loving,Whitesnake,37,98
Oh Father,Madonna,20,100
Rock And A Hard Place,The Rolling Stones,23,99
Steamy Windows,Tina Turner,39,97
The Last Worthless Evening,Don Henley,21,95
A Mover La Colita,Artie The 1 Man Party,65,98
Can't Be Really Gone,Tim McGraw,87,99
December,Collective Soul,20,50
Do You Sleep?,Lisa Loeb & Nine Stories,18,79
East Side Rendezvous,Frost,73,100
Hurricane,The Click,63,95
Don't Make Me Over,Jennifer Warnes,67,96
Money,The Flying Lizards,50,93
Savannah Nights,Tom Johnston,34,98
She's In Love With You,Suzi Quatro,41,97
Stargazer,Peter Brown,59,100
Takin' It Back,Breathless,92,99
Too Late,Journey,70,95
Volcano,Jimmy Buffett,66,94
(I'd Know You) Anywhere,Ashford & Simpson,88,88
American Tune,Paul Simon,35,81
D'yer Mak'er,Led Zeppelin,20,78
If We Make It Through December,Merle Haggard,28,58
Just You 'n' Me,Chicago,4,64
Meadows,Joe Walsh,89,95
MIND GAMES,John Lennon,18,60
"One Tin Soldier, The Legend of Billy Jack",Coven,26,76
(Pride) In The Name Of Love,U2,33,94
Better Be Good To Me,Tina Turner,5,97
Caribbean Queen (No More Love On The Run),Billy Ocean,1,100
Desert Moon,Dennis DeYoung,10,99
Hello Again,The Cars,20,90
It Ain't Enough,Corey Hart,17,96
Penny Lover,Lionel Richie,8,92
Stranger In Town,Toto,30,98
The Belle Of St. Mark,Sheila E.,34,89
Anything Is Possible,Debbie Gibson,26,79
Close To Me,The Cure,97,100
Fairweather Friend,Johnny Gill,28,95
Hang In Long Enough,Phil Collins,23,97
Hard To Handle,The Black Crowes,45,90
Knockin' Boots,Candyman,9,99
On The Way Up,Elisa Fiorillo,27,98
So Close,Daryl Hall John Oates,11,91
As Long As He Takes Care Of Home,Candi Staton,51,54
"Baby, Hang Up The Phone",Carl Graves,50,72
Chico And The Man,Jose Feliciano,96,96
Costafine Town,Splinter,77,100
Crazy Talk,Chilliwack,98,98
Dancin' Fool,The Guess Who,28,78
From His Woman To You,Barbara Mason,28,52
"Hoppy, Gene And Me",Roy Rogers,65,65
I Feel A Song (In My Heart)/Don't Burn Down The Bridge,Gladys Knight And The Pips,21,61
Let Me Start Tonite,Lamont Dozier,87,94
Midnight Sky (Part 1),The Isley Brothers,73,74
Sha-La-La (Make Me Happy),Al Green,7,82
The Entertainer,Billy Joel,34,45
Woman To Woman,Shirley Brown,22,62
Everything Must Change,Paul Young,56,89
Lay Your Hands On Me,Thompson Twins,6,96
Leader Of The Pack,Twisted Sister,53,87
Love Is The Seventh Wave,Sting,17,70
Miami Vice Theme,Jan Hammer,1,100
One Of The Living,Tina Turner,15,92
Who's Zoomin' Who,Aretha Franklin,7,83
You Belong To The City,Glenn Frey,2,93
Your Personal Touch,"Evelyn ""Champagne"" King",86,99
Bittersweet Me,R.E.M.,46,97
I Luv U Baby,The Original,66,100
Let's Make A Night To Remember,Bryan Adams,24,51
My Boo,Ghost Town DJ's,31,48
"Tell Me (From ""Eddie"")",Dru Hill,18,44
Butt Naked,Charm,91,100
Don't Cry,Guns N' Roses,10,46
Housecall,Shabba Ranks (Featuring Maxi Priest),37,90
Set The Night To Music,Roberta Flack With Maxi Priest,6,54
She Ain't Pretty,The Northern Pikes,86,91
Shot Of Poison,Lita Ford,45,97
Broken Hearted Me,Anne Murray,12,92
Dim All The Lights,Donna Summer,2,98
Half The Way,Crystal Gayle,15,85
Heartache Tonight,Eagles,1,99
I Need A Lover,John Cougar,28,69
Let Me Sleep Alone,Cugini,88,88
Rise,Herb Alpert,1,94
Ships,Barry Manilow,9,100
TUSK,Fleetwood Mac,8,97
Video Killed The Radio Star,The Buggles,40,83
You're Gonna Get What's Coming,Bonnie Raitt,73,73
Let Me Serenade You,Three Dog Night,17,78
Let Me Try Again (Laisse Moi Le Temps),Frank Sinatra,63,73
Some Guys Have All The Luck,The Persuaders,39,82
Somewhere Between Love And Tomorrow,Roy Clark,81,96
The River Of Love,B.W. Stevenson,53,60
Amnesia,Shalamar,73,96
Blue Jean,David Bowie,8,97
Catch My Fall,Billy Idol,50,88
Eat My Shorts,Rick Dees,75,93
Hands Tied,Scandal Featuring Patty Smyth,41,100
I Can't Drive 55,Sammy Hagar,26,94
I'm So Excited,The Pointer Sisters,9,98
Let It All Blow,Dazz Band,84,99
Tears,John Waite,37,89
The Greatest Gift Of All,Kenny Rogers,81,81
Can't Stop,After 7,6,86
Cherry Pie,Warrant,10,89
Crash (Have Some Fun),TKA Featuring Michelle Visage,80,90
Giving You The Benefit,Pebbles,4,94
Hippychick,Soho,14,84
I Found Love,The Party,79,100
Missunderstanding,Al B. Sure!,42,99
The Obvious Child,Paul Simon,92,98
The Swalk,Notorious,90,97
Ain't Too Proud To Beg,The Rolling Stones,17,57
Don't Cha Love It,The Miracles,78,78
Funky President (People It's Bad)/Coldblooded,James Brown,44,60
Let's Straighten It Out,Latimore,31,76
Longfellow Serenade,Neil Diamond,5,79
Ms. Grace,The Tymes,91,94
My Melody Of Love,Bobby Vinton,3,62
Philadelphia,B.B. King,64,64
Words (are Impossible),Margie Joseph,91,95
You Ain't Seen Nothing Yet/Free Wheelin',Bachman-Turner Overdrive,1,67
Dangerous,Loverboy,65,90
Freedom,The Pointer Sisters,59,96
Girls Are More Fun,Ray Parker Jr.,34,100
Good Friends,Joni Mitchell,85,85
Lovin' Every Minute Of It,Loverboy,9,97
Saving All My Love For You,Whitney Houston,1,93
Small Town Girl,John Cafferty & The Beaver Brown Band,64,89
Soul Kiss,Olivia Newton-John,20,98
Take On Me,a-ha,1,99
Tears Are Falling,KISS,51,94
Hit Me Off,New Edition,3,72
If Your Girl Only Knew,Aaliyah,11,51
Macarena Christmas,Los Del Rio,57,80
Emotions,Mariah Carey,1,39
Get A Leg Up,John Mellencamp,14,100
Groovy Train,The Farm,41,87
Just Another Girlfriend,Hi-Five,88,95
Love Crazy,Atlantic Starr,75,93
Martika's Kitchen,Martika,93,98
Rush,Big Audio,32,89
What Time Is Love?,The KLF,57,96
Blue Guitar,Justin Hayward & John Lodge,94,94
Breakfast For Two,Country Joe McDonald,92,92
Fire On The Mountain,The Marshall Tucker Band,38,77
Free Ride,Tavares,52,74
School Boy Crush,AWB,33,53
The Little Drummer Boy,Moonlion,95,95
This Old Man,Purple Reign,48,73
Dancin' In My Sleep,Secret Ties,91,95
Emotion In Motion,Ric Ocasek,15,91
Foolish Pride,Daryl Hall,33,94
I Didn't Mean To Turn You On,Robert Palmer,2,84
Miami,Bob Seger,70,98
Nail It To The Wall,Stacy Lattisaw,48,96
Sweet Love,Anita Baker,8,99
Thorn In My Side,Eurythmics,68,97
True Colors,Cyndi Lauper,1,100
Gypsy Spirit,Pendulum,89,89
Help Me!,Marcy Levy & Robin Gibb,50,98
I Can't Stop The Feelin',Pure Prairie League,77,95
Merry Christmas In The NFL,"Willis ""The Guard"" & Vigorish",82,82
Once A Night,Jackie English,94,94
Spend The Night In Love,The 4 Seasons,91,91
Around The World,Daft Punk,61,79
Backyard Boogie,Mack 10,37,67
Grandma Got Run Over By A Reindeer,Elmo & Patsy,87,87
I Care 'Bout You,Milestone,23,51
5-10-15-20 (25-30 Years Of Love),The Presidents,11,35
Black Night,Deep Purple,66,70
Can't Stop Loving You,Tom Jones,25,34
Do It,Neil Diamond,36,47
Heartbreak Hotel,Frijid Pink,72,79
I'm Not My Brothers Keeper,The Flaming Ember,34,45
Only Love Can Break Your Heart,Neil Young,33,46
Causing A Commotion,Madonna,2,98
Don't Tell Me The Time,Martha Davis,80,100
Here I Go Again,Whitesnake,1,99
It's A Sin,Pet Shop Boys,9,95
Let Me Be The One,Expose,7,94
Who Will You Run To,Heart,7,97
Endless Love,Diana Ross & Lionel Richie,1,100
For Your Eyes Only,Sheena Easton,4,98
Living Eyes,Bee Gees,45,78
Runaway Rita,Leif Garrett,84,84
Sausalito Summernight,Diesel,25,94
"She's A Bad Mama Jama (She's Built, She's Stacked)",Carl Carlton,22,96
The Night Owls,Little River Band,6,90
The Woman In Me,Crystal Gayle,76,91
We're In This Love Together,Al Jarreau,15,95
When She Was My Girl,Four Tops,11,93
Can't Get Enough,Willie Max Featuring Raphael Saadiq,49,94
The Chanukah Song,Adam Sandler,80,98
I Missed The Bus,Kris Kross,63,82
No One Else On Earth,Wynonna,83,94
Right Now,Al B. Sure!,47,88
All I Want For Christmas Is You,Mariah Carey,83,83
Deck The Halls,SHeDAISY,61,61
I Love You,Martina McBride,24,71
Left & Right,D'Angelo Featuring Method Man And Redman,70,91
The Christmas Song (Chestnuts Roasting On An Open Fire),Christina Aguilera,18,18
(She's Just A) Fallen Angel,Starz,95,95
Hey Baby,J.J. Cale,96,96
I Can't Ask For Anymore Than You,Cliff Richard,80,91
Love Bug,Bumble Bee Unlimited,92,92
The Best Disco In Town,The Ritchie Family,17,100
Baby I'm - A Want You,Bread,3,34
Stones/Crunchy Granola Suite,Neil Diamond,14,36
Superstar (Remember How You Got Where You Are),The Temptations,18,39
"Theme From ""Summer Of '42""",Peter Nero,21,40
Theme From Shaft,Isaac Hayes,1,31
Tightrope Ride,The Doors,71,75
Where Did Our Love Go,Donnie Elbert,15,32
American Heartbeat,Survivor,17,100
Don't Stop Trying,Rodway,83,97
I.g.y. (what A Beautiful World),Donald Fagen,26,96
Nobody,Sylvia (r&b),15,94
Painted Picture,Commodores,70,70
Southern Cross,"Crosby, Stills & Nash",18,98
The Elvis Medley,Elvis Presley,71,92
Used To Be,Charlene & Stevie Wonder,46,91
Who Can It Be Now?,Men At Work,1,95
You Don't Want Me Anymore,Steel Breeze,16,99
93 'til Infinity,Souls Of Mischief,72,96
Method Man,Wu-Tang Clan,69,87
Push The Feeling On,Nightcrawlers,80,99
"Soul To Squeeze (From ""Coneheads"")",Red Hot Chili Peppers,22,57
Boats Against The Current,Eric Carmen,88,88
Calling Occupants Of Interplanetary Craft,Carpenters,32,95
Don't Let It Show,The Alan Parsons Project,92,92
I Feel Love,Donna Summer,6,100
Nobody Does It Better,Carly Simon,2,99
Send In The Clowns,Judy Collins,19,97
She's Not There,Santana,27,93
We Just Disagree,Dave Mason,12,96
"Boy, I've Been Told",SaFire,48,93
Domino Dancing,Pet Shop Boys,18,89
Is It Love,J.J. Fad,92,100
Till I Loved You,Barbra Streisand & Don Johnson,25,99
Allergies,Paul Simon,44,100
Invisible Hands,Kim Carnes,40,97
Magnetic,"Earth, Wind & Fire",57,98
Red Hot,Herb Alpert,77,96
State Of The Union,Industry,81,99
Street Of Dreams,Rainbow,60,92
The Smile Has Left Your Eyes,Asia,34,94
The Sound Of Goodbye,Crystal Gayle,84,95
But It's Alright,Huey Lewis & The News,54,87
"Circle Of Life (From ""The Lion King"")",Elton John,18,56
Juicy/Unbelievable,The Notorious B.I.G.,27,63
Missing You,Steve Perry,74,98
Picture Postcards From L.A.,Joshua Kadison,84,100
The Santa Claus Boogie,The Tractors,91,91
Hot Child In The City,Nick Gilder,1,97
I Believe You,Carpenters,68,95
Light The Sky On Fire,Jefferson Starship,66,99
Maձana,Jimmy Buffett,84,98
Miles Away,Fotomaker,63,79
You Needed Me,Anne Murray,1,96
Crazy Horses,The Osmonds,14,63
Everybody Loves A Love Song,Mac Davis,63,69
I'm Stone In Love With You,The Stylistics,10,58
Summer Breeze,Seals & Crofts,6,44
The Red Back Spider,Brownsville Station,96,96
Ventura Highway,America,8,55
We Need Order,The Chi-lites,61,71
500 Miles,Hooters,97,98
Back To The Bullet,Saraya,63,99
Owwww!,Chunky A,77,100
Talk To Myself,Christopher Williams,49,95
1st Of Tha Month,Bone Thugs-N-Harmony,14,97
"I Like It, I Love It",Tim McGraw,25,55
I Still Have Dreams,Richie Furay,39,87
Love Pains,Yvonne Elliman,34,88
Message In A Bottle,The Police,74,100
Mistrusted Love,Mistress,49,49
Rainbow Connection,Kermit (Jim Henson),25,95
Since You Been Gone,Rainbow,57,94
You Decorated My Life,Kenny Rogers,7,97
Ain't Got No Home,The Band,73,78
Blue Collar,Bachman-Turner Overdrive,68,79
Could You Ever Love Me Again,Gary & Dave,92,100
"It May Be Winter Outside, (But In My Heart It's Spring)",Love Unlimited,83,91
Midnight Train To Georgia,Gladys Knight And The Pips,1,43
Smarty Pants,First Choice,56,73
Will You Love Me Tomorrow?,Melanie,82,85
I Need You Tonight,Peter Wolf,36,100
I Wanna Go Back,Billy Satellite,78,98
And So It Goes,Billy Joel,37,99
Joey,Concrete Blonde,19,100
Lyin' To Myself,David Cassidy,27,98
Back Home Again,John Denver,5,81
I Feel Sanctified,Commodores,75,86
I Wouldn't Treat A Dog (The Way You Treated Me),Bobby Bland,88,93
Whatever Gets You Thru The Night,John Lennon With The Plastic Ono Nuclear Band,1,79
"Whatever You Got, I Want",Jackson 5,38,69
Without Love,Aretha Franklin,45,53
Fortress Around Your Heart,Sting,8,98
Lonely Ol' Night,John Mellencamp,6,100
Jellyhead,CRUSH,72,72
"Missing You (From ""Set It Off"")","Brandy, Tamia, Gladys Knight & Chaka Khan",25,50
That's How It Is (It's Like That),Redman Featuring K-Solo,95,100
Enter Sandman,Metallica,16,44
Let's Talk About Sex,Salt-N-Pepa,13,25
Real Real Real,Jesus Jones,4,89
Art For Art's Sake,10cc,83,83
Christmas For Cowboys,John Denver,58,58
Going Down Slowly,The Pointer Sisters,61,65
Happy,Eddie Kendricks,66,92
Hollywood Hot,The Eleventh Hour,55,90
I Believe In Father Christmas,Greg Lake,95,95
Our Day Will Come,Frankie Valli,11,42
"Soul Train ""75""",Soul Train Gang,75,75
The Blind Man In The Bleachers,Kenny Starr,58,67
The Last Game Of The Season (A Blind Man In The Bleachers),David Geddes,18,54
The Zip,MFSB,91,91
Volare,Al Martino,33,49
Who Loves You,The 4 Seasons,3,97
Every Beat Of My Heart,Rod Stewart,83,100
Freedom Overspill,Steve Winwood,20,99
Jesse,Carly Simon,11,100
One-Trick Pony,Paul Simon,40,93
Have A Little Mercy,4,46,92
I'm So Happy I Can't Stop Crying,Toby Keith With Sting,84,95
Ace Of Spade,O.V. Wright,54,68
After Midnight,Eric Clapton,18,39
Border Song (Holy Moses)/You And Me,Aretha Franklin,37,44
Help Me Find A Way (To Say I Love You),Little Anthony And The Imperials,92,92
I'll Be There,Jackson 5,1,29
It's All In Your Mind,Clarence Carter,51,70
Sing High - Sing Low,Anne Murray,83,83
We've Only Just Begun,Carpenters,2,28
Don't Make Me Wait For Love,Kenny G. (Vocal By Lenny Williams),15,100
Controversy,Prince,70,97
Hard To Say,Dan Fogelberg,7,96
"I Want You, I Need You",Chris Christian,37,98
Sharing The Love,Rufus With Chaka Khan,91,100
Twilight,Electric Light Orchestra,38,99
A Little Past Little Rock,Lee Ann Womack,43,98
Don't Laugh At Me,Mark Wills,73,92
How Do You Fall In Love,Alabama,82,96
It's Your Song,Garth Brooks,62,100
Lean On Me,"Kirk Franklin Featuring Mary J. Blige, Bono, R. Kelly, Crystal Lewis & The Family",79,99
We Really Shouldn't Be Doing This,George Strait,44,89
Could've Been Me,Billy Ray Cyrus,72,89
Crazy Love,CeCe Peniston,97,100
Have You Ever Needed Someone So Bad,Def Leppard,12,55
Pick It Up,Home Team,90,98
Gotta Man,Eve,26,97
NAStradamus,Nas,92,100
Steam,Ty Herndon,83,99
"Baby, I'll Give It To You",Seals & Crofts,58,99
Every Face Tells A Story,Olivia Newton-John,55,78
Heart On My Sleeve,Bryan Ferry,86,86
If You Leave Me Now,Chicago,1,81
It's A Long Way There,Little River Band,28,92
Just To Be Close To You,Commodores,7,57
"Ob-la-di, Ob-la-da",The Beatles,49,71
St. Charles,Jefferson Starship,64,64
You're My Driving Wheel,The Supremes,85,85
"Gypsys, Tramps & Thieves",Cher,1,25
I'm A Greedy Man - Part I,James Brown,35,47
Lay Lady Lay,The Isley Brothers,71,71
Let It Be,Joan Baez,49,57
Long Time To Be Alone,The New Colony Six,93,93
No Good To Cry,The Poppy Family,84,84
Turn Your Radio On,Ray Stevens,63,70
Destination Unknown,Missing Persons,42,92
Forever Mine,The Motels,60,96
Love Me Tomorrow,Chicago,22,91
Theme From Dynasty,Bill Conti,52,86
Better Than You,Lisa Keith,36,90
Send Me A Lover,Taylor Dayne,50,88
Yolanda,Reality,72,100
Don't Say No,Billy Burnette,68,91
Hold On,Kansas,40,93
Lookin' For Love,Johnny Lee,5,97
Real People/Chip Off The Old Block,Chic,79,79
Xanadu,Olivia Newton-John/Electric Light Orchestra,8,94
Cry Like A Baby,Kim Carnes,44,93
How Do I Survive,Amy Holland,22,98
Late In The Evening,Paul Simon,6,72
Let's Be Lovers Again,Eddie Money (with Valerie Carter),65,96
Live Every Minute,Ali Thomson,42,95
Love X Love,George Benson,61,77
Midnight Rocks,Al Stewart,24,94
Sherry,Robert John,70,83
Walk Away,Donna Summer,36,97
Who Were You Thinkin' Of,The Doolittle Band,49,91
All Over The World,Electric Light Orchestra,13,100
Can't We Try,Teddy Pendergrass,52,99
Heroes,Commodores,54,96
Hot Rod Hearts,Robbie Dupree,15,65
I'm Almost Ready,Pure Prairie League,34,93
Let Me Talk,"Earth, Wind & Fire",44,87
Let's Do Something Cheap And Superficial,Burt Reynolds,88,97
More Bounce To The Ounce Part I,Zapp,86,98
Private Idaho,The B-52s,74,84
The Legend Of Wooley Swamp,The Charlie Daniels Band,31,91
Touch And Go,The Cars,37,67
When We Get Married,Larry Graham,76,76
Who'll Be The Fool Tonight,Larsen-Feiten Band,29,95
(Sartorial Eloquence) Don't Ya Wanna Play This Game No More?,Elton John,39,95
Games Without Frontiers,Peter Gabriel,48,100
Into The Night,Benny Mardones,11,99
Magic,Olivia Newton-John,1,97
My Prayer,"Ray, Goodman & Brown",47,85
Turn It On Again,Genesis,58,94
Boulevard,Jackson Browne,19,90
I've Just Begun To Love You,Dynasty,87,98
Let My Love Open The Door,Pete Townshend,9,99
My Guy/My Girl,Amii Stewart & Johnny Bristol,63,97
One Life To Live,Wayne Massey,92,92
Red Light,Linda Clifford,41,96
Take Your Time (Do It Right) Part 1,The S.O.S. Band,3,88
Thunder And Lightning,Chicago,56,100
First Time Love,Livingston Taylor,38,83
Leaving L.A.,Deliverance,71,97
True Love Ways,Mickey Gilley,66,100
Why Not Me,Fred Knoblock,18,75
Cupid/I've Loved You For A Long Time,The Spinners,4,93
Don't Misunderstand Me,Rossington Collins Band,55,92
Fool For Your Loving,Whitesnake,53,99
I Hear You Now,Jon & Vangelis,58,96
Late At Night,England Dan Seals,57,100
Little Jeannie,Elton John,3,97
Misunderstanding,Genesis,14,84
Tulsa Time/Cocaine,Eric Clapton And His Band,30,91
Under The Gun,Poco,48,94
Coming Up (Live At Glasgow),Paul McCartney And Wings,1,93
Empire Strikes Back (Medley),Meco,18,92
First...Be A Woman,Lenore O'malley,53,84
I Can't Let Go,Linda Ronstadt,31,95
Rock It,"Lipps, Inc.",64,96
Stand By Me,Mickey Gilley,22,91
Steal Away,Robbie Dupree,6,100
Tired Of Toein' The Line,Rocky Burnette,8,98
All Night Long,Joe Walsh,19,93
Darlin',Yipes!!,68,100
Funkytown,"Lipps, Inc.",1,99
Gimme Some Lovin',Blues Brothers,18,91
I'm Alive,Electric Light Orchestra,16,97
Let Me Love You Tonight,Pure Prairie League,10,96
Let's Get Serious,Jermaine Jackson,9,98
Over You,Roxy Music,80,95
Years From Now,Dr. Hook,51,94
(Call Me) When The Spirit Moves You,Touch,65,100
Against The Wind,Bob Seger,5,98
Half Moon Silver,Hotel,72,85
Love That Got Away,Firefall,50,94
Play The Game,Queen,42,93
Shandi,KISS,47,99
Shiver And Shake,The Silencers,81,81
Beyond,Herb Alpert,50,97
Everything Is Alright,Spider,86,99
My Mistake,The Kingbees,81,96
One More Time For Love,Billy Preston & Syreeta,52,98
Stranger In My Home Town,Foghat,81,100
That Lovin' You Feelin' Again,Roy Orbison & Emmylou Harris,55,94
Walks Like A Lady,Journey,32,93
Wango Tango,Ted Nugent,86,95
Whatever You Decide,Randy VanWarmer,77,77
Alabama Getaway,Grateful Dead,68,94
Everything Works If You Let It,Cheap Trick,44,98
I Get Off On It,Tony Joe White,79,99
If I Were You,Toby Beau,70,70
It's For You,Player,46,91
Save Me,Dave Mason,71,71
The Blue Side,Crystal Gayle,81,100
When Things Go Wrong,Robin Lane & The Chartbusters,87,97
Who Shot J.R.?,Gary Burbank With Band McNally,67,95
All Night Thing,The Invisible Man's Band,45,91
Ashes By Now,Rodney Crowell,37,92
Cheap Sunglasses,ZZ Top,89,89
I'm Happy Just To Dance With You,Anne Murray,64,99
It Hurts Too Much,Eric Carmen,75,75
Somethin' 'Bout You Baby I Like,Glen Campbell & Rita Coolidge,42,100
Stomp!,The Brothers Johnson,7,95
Stop Your Sobbing,Pretenders,65,98
Sweet Sensation,Stephanie Mills,52,93
"Theme From New York, New York",Frank Sinatra,32,94
Two Places At The Same Time,Ray Parker Jr. & Raydio,30,97
Breakdown Dead Ahead,Boz Scaggs,15,92
Is This Love,Pat Travers Band,50,96
Lady,The Whispers,28,99
Love Stinks,The J. Geils Band,38,100
New Romance (It's A Mystery),Spider,39,93
We Were Meant To Be Lovers,Photoglo,31,91
Coming Down From Love,Bobby Caldwell,42,69
Gee Whiz,Bernadette Peters,31,95
I Can't Help It,Andy Gibb & Olivia Newton-John,12,93
I Don't Want To Walk Without You,Barry Manilow,36,97
Only The Lonely (Have A Reason To Be Sad),La Flavour,91,91
Sisters Of The Moon,Fleetwood Mac,86,92
Take You Tonight,Ozark Mountain Daredevils,67,67
The Seduction (Love Theme),James Last Band,28,100
